DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.243               2.831            -0.589         5.724
RESSURF            6.682               7.201            -0.519         5.186
SOLIN            342.177             342.177             0.000         0.000
AAM            1.388e+26           1.448e+26        -5.909e+24      -999.000
CHI_200            0.013               0.014            -0.001         0.386
CLDHGH            28.421              28.434            -0.013         1.813
CLDLOW            32.741              32.899            -0.158         1.611
CLDMED            15.867              15.737             0.130         1.382
CLDTOT            50.372              50.443            -0.071         1.824
EKE_850           27.468              27.428             0.040         1.682
EP            -3.805e-02          -3.718e-02        -8.684e-04         0.416
FLNS              59.488              58.867             0.622         1.853
FLNSC             82.360              81.514             0.845         1.666
FLNT             233.579             234.620            -1.041         2.569
FLNTC            262.071             263.160            -1.090         1.438
FSDS             186.929             185.934             0.995         3.878
FSDSC            249.568             248.754             0.814         1.231
FSNS             161.681             162.959            -1.278         6.630
FSNSC            217.617             219.653            -2.036         8.546
FSNSC_ICE         46.397              45.098             1.300         5.328
FSNSC_LAND       166.600             166.062             0.539         1.185
FSNT             235.822             237.452            -1.630         6.243
FSNTC            287.798             290.231            -2.433         8.153
ICEAREA           24.793              23.600             1.194         0.067
LHFLX             79.399              80.867            -1.468         5.584
LWCF              28.492              28.540            -0.049         1.834
PRECT              2.763               2.813            -0.050         0.386
PRECT_LAND         2.458               2.465            -0.007         0.308
PRECT_OCEAN        2.991               3.058            -0.067         0.430
PREH2O            25.920              26.866            -0.946         1.382
PREH2O_OCEAN      29.893              31.007            -1.114         1.561
PSI_200           -0.044              -0.043            -0.000         0.272
PS               985.427             985.520            -0.093         0.496
PSL             1011.111            1011.184            -0.072         0.508
QFLX               2.725               2.776            -0.051         0.165
SHFLX             16.111              16.024             0.087         1.782
SNOWHLND          10.316              10.418            -0.102         2.312
SST               20.208              20.748            -0.540         0.666
STRESS_MAG         0.071               0.070             0.001         0.006
SWCF             -51.976             -52.779             0.803         3.996
T_850            281.763             282.294            -0.531         0.624
TGCLDLWP         134.530             136.241            -1.711         9.871
TGCLDIWP          17.257              17.102             0.155         1.223
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.843             288.338            -0.495         0.617
TS               288.529             289.030            -0.500         0.645
TS_LAND          283.093             283.507            -0.414         0.557
U_200             15.355              15.809            -0.454         1.285
VT_850             0.076               0.008             0.068         0.648
Z3_500            56.731              56.856            -0.125         0.145
