DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -23.463             -21.152            -2.312         7.187
RESSURF           -4.841              -3.619            -1.222         3.886
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.822               0.556             0.265         0.369
CLDHGH            25.279              25.463            -0.184         1.100
CLDLOW            39.403              39.730            -0.326         1.373
CLDMED            15.770              15.624             0.146         0.903
CLDTOT            53.405              53.676            -0.271         1.217
EKE_850           44.329              43.789             0.541         1.483
EP             1.128e-01           1.075e-01         5.293e-03         0.188
FLNS              60.373              59.396             0.977         1.632
FLNSC             89.278              88.088             1.191         1.791
FLNT             224.845             226.285            -1.440         1.868
FLNTC            249.061             250.803            -1.742         1.829
FSDS             168.474             166.495             1.979         3.457
FSDSC            226.824             225.671             1.153         1.550
FSNS             138.406             141.877            -3.471         7.948
FSNSC            188.616             194.222            -5.606        11.405
FSNSC_ICE         60.810              61.186            -0.376         5.016
FSNSC_LAND       129.970             129.661             0.309         0.601
FSNT             201.382             205.133            -3.751         7.691
FSNTC            247.071             252.963            -5.892        11.102
ICEAREA           12.197              10.996             1.202         0.057
LHFLX             70.512              73.717            -3.206         6.472
LWCF              24.216              24.518            -0.302         1.110
PRECT              2.270               2.388            -0.118         0.254
PRECT_LAND         1.654               1.701            -0.047         0.164
PRECT_OCEAN        2.448               2.582            -0.134         0.281
PREH2O            16.947              18.225            -1.278         1.606
PREH2O_OCEAN      19.331              20.697            -1.366         1.797
PSI_200            7.256               7.294            -0.039         0.113
PS               983.534             983.424             0.111         0.552
PSL             1007.253            1007.103             0.151         0.561
QFLX               2.383               2.495            -0.113         0.217
SHFLX             12.363              12.383            -0.020         1.636
SNOWHLND          46.977              46.929             0.048         1.164
SST               14.692              15.566            -0.874         0.960
STRESS_MAG         0.095               0.093             0.002         0.007
SWCF             -45.689             -47.830             2.140         4.071
T_850            275.985             276.828            -0.843         0.874
TGCLDLWP         141.083             144.585            -3.502         7.901
TGCLDIWP          20.491              20.198             0.293         1.011
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.019             281.871            -0.852         0.906
TS               281.554             282.430            -0.876         0.954
TS_LAND          266.264             267.055            -0.791         0.819
U_200             25.583              25.485             0.098         1.079
VT_850            -0.218              -0.208            -0.010         0.543
Z3_500            55.160              55.335            -0.175         0.187
