DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -110.780            -110.435            -0.345         4.176
RESSURF          -83.220             -83.677             0.457         6.557
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.520               4.243             0.276         0.557
CLDHGH            31.106              31.196            -0.090         1.599
CLDLOW            37.568              38.003            -0.435         1.616
CLDMED            17.569              17.477             0.092         1.290
CLDTOT            55.914              56.142            -0.228         1.473
EKE_850           55.281              55.099             0.182         2.329
EP             2.067e-01           1.789e-01         2.781e-02         0.232
FLNS              63.272              62.423             0.850         1.800
FLNSC             92.348              91.511             0.837         1.761
FLNT             214.728             216.038            -1.310         2.038
FLNTC            241.361             243.047            -1.687         1.913
FSDS              81.857              80.665             1.192         2.337
FSDSC            108.972             108.408             0.564         0.889
FSNS              71.169              72.656            -1.487         4.319
FSNSC             94.426              97.128            -2.702         6.043
FSNSC_ICE          2.638               2.454             0.184         0.375
FSNSC_LAND        77.386              77.236             0.150         0.439
FSNT             103.948             105.602            -1.654         4.207
FSNTC            126.427             129.305            -2.878         5.977
ICEAREA           15.762              14.451             1.311         0.083
LHFLX             77.553              80.427            -2.875         6.676
LWCF              26.633              27.010            -0.377         1.386
PRECT              2.397               2.529            -0.132         0.292
PRECT_LAND         0.838               0.890            -0.052         0.157
PRECT_OCEAN        2.831               2.979            -0.147         0.328
PREH2O            13.343              14.361            -1.018         1.293
PREH2O_OCEAN      15.860              16.969            -1.109         1.451
PSI_200            7.253               7.399            -0.146         0.220
PS               983.487             983.500            -0.013         0.808
PSL             1007.476            1007.459             0.017         0.795
QFLX               2.604               2.708            -0.104         0.222
SHFLX             13.564              13.483             0.081         2.964
SNOWHLND          46.998              46.950             0.048         1.183
SST               13.164              13.971            -0.807         0.877
STRESS_MAG         0.109               0.106             0.003         0.011
SWCF             -22.479             -23.703             1.224         2.419
T_850            273.087             273.906            -0.819         0.869
TGCLDLWP         139.531             144.146            -4.615         9.449
TGCLDIWP          23.259              23.049             0.210         1.323
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.857             278.733            -0.877         0.977
TS               278.432             279.325            -0.893         1.027
TS_LAND          258.923             259.759            -0.836         0.933
U_200             30.560              30.318             0.241         1.506
VT_850            -0.377              -0.352            -0.025         0.876
Z3_500            54.534              54.708            -0.174         0.199
